userid,username,email,status,role,tokenusage,createdat,rotatedat
10043,christopherhall.35,christopher.hall43@company.com,ACTIVE,AdministratorAccess,1751,2025-07-21,2026-01-29
10044,CHRISTOPHERHARRIS_6,christopher.harris44@company.com,ACTIVE,AdministratorAccess,26,2025-05-02,2026-05-31
10045,christopherlewis-7,christopher.lewis45@company.com,ACTIVE,AdministratorAccess,1198,2025-03-06,2026-06-14
10046,CHRISTOPHERLOPEZ_3,christopher.lopez46@company.com,ACTIVE,AdministratorAccess,968,2025-10-24,2026-05-25
10047,christophermitchell.30,christopher.mitchell47@company.com,ACTIVE,AdministratorAccess,364,2025-04-16,2026-06-13
10048,CHRISTOPHERROBINSON,christopher.robinson48@company.com,ACTIVE,AdministratorAccess,704,2025-12-01,2026-05-18
10049,christopherwright-3,christopher.wright49@company.com,ACTIVE,AdministratorAccess,1960,2025-10-02,2026-06-08
10050,danie.lallen,daniel.allen50@company.com,ACTIVE,AdministratorAccess,369,2025-01-29,2026-05-14
10051,DANIELMITCHELL,daniel.mitchell51@company.com,ACTIVE,AdministratorAccess,150,2025-09-03,2026-05-19
10052,danielmoore.39,daniel.moore52@company.com,ACTIVE,AdministratorAccess,1735,2025-08-16,2026-03-17
10053,david.carter,david.carter53@company.com,ACTIVE,AdministratorAccess,815,2025-02-28,2026-06-11
10054,david.garcia,david.garcia54@company.com,ACTIVE,AdministratorAccess,1521,2025-07-13,2026-06-09
10055,DAVIDLOPEZ,david.lopez55@company.com,ACTIVE,AdministratorAccess,1210,2025-05-20,2026-05-16
10056,david.scott,david.scott56@company.com,ACTIVE,ReadOnlyAccess,1475,2025-10-26,2026-06-04
10057,davidwilson_89,david.wilson57@company.com,ACTIVE,ReadOnlyAccess,959,2025-10-25,2026-05-14
10058,donaldanderson_97,donald.anderson58@company.com,ACTIVE,ReadOnlyAccess,1816,2025-02-25,2026-05-14
10059,donaldbrown_97,donald.brown59@company.com,ACTIVE,ReadOnlyAccess,1971,2025-10-03,2026-06-04
10060,donaldh.ernandez,donald.hernandez60@company.com,ACTIVE,ReadOnlyAccess,28,2025-02-15,2026-05-22
10061,donaldmoore-6,donald.moore61@company.com,ACTIVE,ReadOnlyAccess,319,2025-11-27,2026-05-29
10062,DONALDNGUYEN,donald.nguyen62@company.com,ACTIVE,ReadOnlyAccess,169,2025-10-19,2026-06-08
10063,DONALDSANCHEZ,donald.sanchez63@company.com,ACTIVE,ReadOnlyAccess,1321,2025-03-19,2026-05-09
10064,donald.torres,donald.torres64@company.com,ACTIVE,ReadOnlyAccess,1974,2025-06-23,2026-06-04
10065,donaldwalker-9,donald.walker65@company.com,ACTIVE,ReadOnlyAccess,1629,2025-05-31,2026-04-28
10066,donnacampbell.93,donna.campbell66@company.com,ACTIVE,ReadOnlyAccess,1887,2025-10-13,2026-06-09
10067,donnahernandez_81,donna.hernandez67@company.com,ACTIVE,ReadOnlyAccess,553,2025-03-13,2026-05-31
10068,donna.jones,donna.jones68@company.com,ACTIVE,ReadOnlyAccess,980,2025-09-01,2026-06-09
10069,donnamoore-9,donna.moore69@company.com,ACTIVE,ReadOnlyAccess,780,2025-05-03,2026-05-16
10070,donna.perez,donna.perez70@company.com,ACTIVE,ReadOnlyAccess,243,2025-04-19,2026-05-06
10071,EDWARDHILL,edward.hill71@company.com,ACTIVE,ReadOnlyAccess,1925,2025-11-10,
10072,edwardmiller_27,edward.miller72@company.com,ACTIVE,ReadOnlyAccess,1711,2025-03-16,
10073,EDWARDMOORE_4,edward.moore73@company.com,ACTIVE,ReadOnlyAccess,1142,2025-05-14,
10074,elizabethcampbell.69,elizabeth.campbell74@company.com,ACTIVE,ReadOnlyAccess,1474,2025-09-24,
10075,ELIZABETHGARCIA_1,elizabeth.garcia75@company.com,ACTIVE,ReadOnlyAccess,1211,2025-09-16,
10076,elizabe.thlewis,elizabeth.lewis76@company.com,ACTIVE,ReadOnlyAccess,1633,2025-11-04,
10077,elizabe.thrivera,elizabeth.rivera77@company.com,ACTIVE,ReadOnlyAccess,2000,2025-07-21,
10078,elizabethroberts.62,elizabeth.roberts78@company.com,ACTIVE,ReadOnlyAccess,1279,2025-10-05,
10079,ELIZABETHRODRIGUEZ_2,elizabeth.rodriguez79@company.com,ACTIVE,ReadOnlyAccess,1256,2025-09-29,
10080,ELIZABETHSMITH_4,elizabeth.smith80@company.com,ACTIVE,ReadOnlyAccess,774,2025-07-16,
10081,ELIZABETHTAYLOR,elizabeth.taylor81@company.com,ACTIVE,AdministratorAccess,1965,2025-10-16,2026-06-01
10082,elizabethwilliams_79,elizabeth.williams82@company.com,ACTIVE,PowerUserAccess,626,2025-09-10,2026-05-19
10083,elizabethwilson-2,elizabeth.wilson83@company.com,ACTIVE,AdministratorAccess,1118,2025-07-08,2026-05-10
10084,emilymiller_19,emily.miller84@company.com,ACTIVE,AdministratorAccess,222,2025-10-02,2026-05-09
10085,EMILYNGUYEN,emily.nguyen85@company.com,ACTIVE,AdministratorAccess,1967,2025-02-18,2026-05-21
10086,EMILYSCOTT,emily.scott86@company.com,ACTIVE,PowerUserAccess,1422,2025-02-18,2026-03-30
10087,emily.wright,emily.wright87@company.com,ACTIVE,PowerUserAccess,1360,2025-08-26,2026-05-02
10088,georgecarter_49,george.carter88@company.com,ACTIVE,PowerUserAccess,1386,2025-05-25,2026-06-06
10089,georgeh.ernandez,george.hernandez89@company.com,ACTIVE,PowerUserAccess,1947,2025-07-08,2026-03-29
10090,george.jackson,george.jackson90@company.com,ACTIVE,AdministratorAccess,1787,2025-09-06,2026-03-10
10091,GEORGEMARTIN,george.martin91@company.com,ACTIVE,PowerUserAccess,1173,2025-01-31,2026-03-02
10092,GEORGENGUYEN,george.nguyen92@company.com,ACTIVE,AdministratorAccess,1119,2025-02-22,2026-03-07
10093,GEORGETHOMPSON_7,george.thompson93@company.com,ACTIVE,AdministratorAccess,240,2025-08-14,2026-02-24
10094,georgewilliams-7,george.williams94@company.com,ACTIVE,AdministratorAccess,985,2025-04-02,2026-05-18
10095,jamesbaker-1,james.baker95@company.com,ACTIVE,AdministratorAccess,493,2025-05-04,2026-05-07
10096,JAMESCAMPBELL_9,james.campbell96@company.com,ACTIVE,PowerUserAccess,1472,2025-06-07,2026-06-05
10097,jamesharris_76,james.harris97@company.com,ACTIVE,AdministratorAccess,143,2025-02-09,2026-06-08
10098,jameshill.12,james.hill98@company.com,ACTIVE,AdministratorAccess,1103,2025-04-10,2026-05-31
10099,JAMESJONES,james.jones99@company.com,ACTIVE,AdministratorAccess,1202,2025-09-16,2026-05-29
10100,JAMESNELSON,james.nelson100@company.com,ACTIVE,PowerUserAccess,1779,2025-04-28,2026-06-06
10101,james.perez,james.perez101@company.com,ACTIVE,AdministratorAccess,1411,2025-10-14,2026-04-12
10102,jamesrobinson_40,james.robinson102@company.com,ACTIVE,PowerUserAccess,90,2025-11-18,2026-05-21
10103,jasonhill_50,jason.hill103@company.com,ACTIVE,PowerUserAccess,1485,2025-05-11,2026-05-10
10104,jasonnguyen-2,jason.nguyen104@company.com,ACTIVE,PowerUserAccess,1663,2025-05-04,2026-06-11
10105,JASONRODRIGUEZ_6,jason.rodriguez105@company.com,ACTIVE,PowerUserAccess,1954,2025-03-24,2026-06-08
10106,jeffreydavis.73,jeffrey.davis106@company.com,ACTIVE,AdministratorAccess,757,2025-09-21,2026-05-07
10107,jeffreyking.38,jeffrey.king107@company.com,ACTIVE,AdministratorAccess,346,2025-10-12,2026-05-22
10108,jeffreynguyen_4,jeffrey.nguyen108@company.com,ACTIVE,AdministratorAccess,1651,2025-12-01,2026-06-18
10109,JEFFREYSCOTT_8,jeffrey.scott109@company.com,ACTIVE,AdministratorAccess,1179,2025-07-14,2026-05-31
10110,jennifercarter-7,jennifer.carter110@company.com,ACTIVE,PowerUserAccess,678,2025-10-29,2026-04-13
10111,jenniferhill.32,jennifer.hill111@company.com,ACTIVE,AdministratorAccess,382,2025-12-13,2026-06-01
10112,jennife.rtaylor,jennifer.taylor112@company.com,ACTIVE,PowerUserAccess,1520,2025-06-08,2026-05-20
10113,jenniferthomas_64,jennifer.thomas113@company.com,ACTIVE,PowerUserAccess,74,2025-05-13,2026-06-06
10114,jennif.eryoung,jennifer.young114@company.com,ACTIVE,AdministratorAccess,252,2025-02-20,2026-03-19
10115,jessicaanderson_2,jessica.anderson115@company.com,ACTIVE,PowerUserAccess,1797,2025-03-30,2026-06-14
10116,jessicaramirez_3,jessica.ramirez116@company.com,ACTIVE,AdministratorAccess,161,2025-05-07,2026-05-30
10117,JESSICATORRES_9,jessica.torres117@company.com,ACTIVE,AdministratorAccess,289,2025-04-26,2026-06-04
10118,JOHNDAVIS_2,john.davis118@company.com,ACTIVE,PowerUserAccess,1937,2025-09-28,2026-05-03
10119,johnmitchell.50,john.mitchell119@company.com,ACTIVE,AdministratorAccess,1110,2025-07-23,2026-06-11
10120,johnnguyen_84,john.nguyen120@company.com,ACTIVE,AdministratorAccess,1962,2025-10-10,2026-06-01
10121,JOSEPHHARRIS_7,joseph.harris121@company.com,ACTIVE,AdministratorAccess,1484,2025-08-11,2026-05-12
10122,JOSEPHJONES_9,joseph.jones122@company.com,ACTIVE,AdministratorAccess,957,2025-08-26,2026-05-18
10123,joseph.miller,joseph.miller123@company.com,ACTIVE,PowerUserAccess,1413,2025-09-16,2026-05-10
10124,joseph.torres,joseph.torres124@company.com,ACTIVE,AdministratorAccess,1596,2025-10-29,2026-05-21
10125,JOSHUAFLORES,joshua.flores125@company.com,ACTIVE,AdministratorAccess,427,2025-10-17,2026-06-04
10126,joshuagreen_92,joshua.green126@company.com,ACTIVE,S3ReadOnly,196,2025-05-22,2026-04-04
10127,karengarcia.64,karen.garcia127@company.com,ACTIVE,S3ReadOnly,936,2025-05-13,2026-06-02
10128,karenmitchell-9,karen.mitchell128@company.com,ACTIVE,S3ReadOnly,126,2025-08-26,2026-05-31
10129,KARENTORRES_1,karen.torres129@company.com,ACTIVE,ReadOnlyAccess,1294,2025-01-26,2026-06-01
10130,KARENWHITE,karen.white130@company.com,ACTIVE,ReadOnlyAccess,1583,2025-04-08,2026-06-02
10131,KENNETHBROWN,kenneth.brown131@company.com,ACTIVE,ReadOnlyAccess,1026,2025-09-01,2026-05-26
10132,KENNETHROBERTS,kenneth.roberts132@company.com,ACTIVE,ReadOnlyAccess,639,2025-10-01,2026-05-06
10133,KENNETHSANCHEZ_8,kenneth.sanchez133@company.com,ACTIVE,S3ReadOnly,1324,2025-04-30,2026-06-08
10134,kenneththomas.37,kenneth.thomas134@company.com,ACTIVE,S3ReadOnly,338,2025-09-19,2026-03-15
10135,KENNETHYOUNG,kenneth.young135@company.com,ACTIVE,S3ReadOnly,47,2025-07-22,2026-05-09
10136,kevin.clark,kevin.clark136@company.com,ACTIVE,S3ReadOnly,1160,2025-11-26,2026-06-05
10137,kevindavis-9,kevin.davis137@company.com,ACTIVE,ReadOnlyAccess,1783,2025-11-23,2026-05-21
10138,kevinjones_51,kevin.jones138@company.com,ACTIVE,ReadOnlyAccess,145,2025-02-19,2026-03-11
10139,kevin.moore,kevin.moore139@company.com,ACTIVE,ReadOnlyAccess,312,2025-06-29,2026-06-06
10140,KEVINWILSON,kevin.wilson140@company.com,ACTIVE,S3ReadOnly,529,2025-05-19,2026-05-19
10141,kimberlybrown-3,kimberly.brown141@company.com,ACTIVE,S3ReadOnly,995,2025-02-27,2026-04-25
10142,kimber.lydavis,kimberly.davis142@company.com,ACTIVE,S3ReadOnly,732,2025-12-06,2026-05-15
10143,kimber.lyperez,kimberly.perez143@company.com,ACTIVE,ReadOnlyAccess,640,2025-07-23,2026-05-28
10144,kimberlytaylor-7,kimberly.taylor144@company.com,ACTIVE,ReadOnlyAccess,828,2025-03-28,2026-05-23
10145,kimberlytorres-3,kimberly.torres145@company.com,ACTIVE,S3ReadOnly,876,2025-11-11,2026-06-04
10146,KIMBERLYYOUNG,kimberly.young146@company.com,ACTIVE,ReadOnlyAccess,1843,2025-09-08,2026-06-02
10147,LINDAHERNANDEZ,linda.hernandez147@company.com,ACTIVE,S3ReadOnly,1891,2025-02-11,2026-06-15
10148,LINDALEE,linda.lee148@company.com,ACTIVE,S3ReadOnly,1190,2025-02-06,2026-05-30
10149,lisadavis_55,lisa.davis149@company.com,ACTIVE,S3ReadOnly,377,2025-02-18,2026-06-04
10150,lisahernandez.90,lisa.hernandez150@company.com,ACTIVE,S3ReadOnly,427,2025-04-20,2026-05-21
10151,lisaramirez.99,lisa.ramirez151@company.com,ACTIVE,ReadOnlyAccess,830,2025-08-07,2026-05-26
10152,lisataylor_75,lisa.taylor152@company.com,ACTIVE,ReadOnlyAccess,563,2025-03-05,2026-04-10
10153,margaretcampbell.36,margaret.campbell153@company.com,ACTIVE,S3ReadOnly,497,2025-04-20,2026-06-07
10154,margaretgonzalez.74,margaret.gonzalez154@company.com,ACTIVE,ReadOnlyAccess,937,2025-02-15,2026-05-09
10155,margaretmartinez-3,margaret.martinez155@company.com,ACTIVE,ReadOnlyAccess,1869,2025-11-08,2026-05-25
10156,MARGARETRAMIREZ,margaret.ramirez156@company.com,ACTIVE,ReadOnlyAccess,85,2025-12-04,2026-06-03
10157,MARGARETSCOTT_5,margaret.scott157@company.com,ACTIVE,S3ReadOnly,855,2025-08-04,2026-05-16
10158,margare.twright,margaret.wright158@company.com,ACTIVE,ReadOnlyAccess,629,2025-06-20,2026-03-21
10159,mark.allen,mark.allen159@company.com,ACTIVE,S3ReadOnly,543,2025-03-24,2026-05-18
10160,mark.baker,mark.baker160@company.com,ACTIVE,S3ReadOnly,919,2025-11-08,2026-06-06
10161,MARKMILLER_8,mark.miller161@company.com,ACTIVE,S3ReadOnly,1499,2025-06-12,2026-05-20
10162,markroberts.50,mark.roberts162@company.com,ACTIVE,ReadOnlyAccess,1215,2025-07-28,2026-05-21
10163,markrodriguez_7,mark.rodriguez163@company.com,ACTIVE,S3ReadOnly,983,2025-04-11,2026-03-17
10164,MARKWILLIAMS_8,mark.williams164@company.com,ACTIVE,ReadOnlyAccess,943,2025-04-13,2026-05-20
10165,maryallen_51,mary.allen165@company.com,ACTIVE,S3ReadOnly,604,2025-09-09,2026-05-09
10166,marywilson.75,mary.wilson166@company.com,ACTIVE,ReadOnlyAccess,185,2025-07-03,2026-03-25
10167,matthewgonzalez_66,matthew.gonzalez167@company.com,ACTIVE,S3ReadOnly,1364,2025-03-29,2026-06-05
10168,matthewmartinez.33,matthew.martinez168@company.com,ACTIVE,ReadOnlyAccess,205,2025-08-11,2026-05-30
10169,michaeladams.10,michael.adams169@company.com,ACTIVE,S3ReadOnly,530,2025-06-11,2026-05-21
10170,michaelallen.79,michael.allen170@company.com,ACTIVE,ReadOnlyAccess,211,2025-06-07,2026-05-24
10171,michaelanderson.86,michael.anderson171@company.com,ACTIVE,S3ReadOnly,1185,2025-02-22,2026-05-19
10172,MICHAELDAVIS_4,michael.davis172@company.com,ACTIVE,ReadOnlyAccess,650,2025-09-11,2026-05-20
10173,michaelgarcia.61,michael.garcia173@company.com,ACTIVE,S3ReadOnly,87,2025-03-12,2026-05-31
10174,michael.mitchell,michael.mitchell174@company.com,ACTIVE,S3ReadOnly,1390,2025-08-06,2026-05-31
10175,MICHAELNGUYEN_1,michael.nguyen175@company.com,ACTIVE,ReadOnlyAccess,1131,2025-05-07,2026-05-20
10176,MICHAELSANCHEZ,michael.sanchez176@company.com,ACTIVE,ReadOnlyAccess,752,2025-08-10,2026-06-11
10177,MICHELLEADAMS,michelle.adams177@company.com,ACTIVE,S3ReadOnly,1064,2025-06-13,2026-05-27
10178,michellebrown-8,michelle.brown178@company.com,ACTIVE,ReadOnlyAccess,157,2025-02-03,2026-05-29
10179,MICHELLEKING_2,michelle.king179@company.com,ACTIVE,S3ReadOnly,1069,2025-03-25,2026-05-21
10180,MICHELLERODRIGUEZ_1,michelle.rodriguez180@company.com,ACTIVE,ReadOnlyAccess,1186,2025-06-07,2026-06-04
10181,nancyking.64,nancy.king181@company.com,ACTIVE,S3ReadOnly,542,2025-07-14,2026-05-06
10182,NANCYMARTIN_2,nancy.martin182@company.com,ACTIVE,S3ReadOnly,397,2025-10-03,2026-05-19
10183,nancymiller.66,nancy.miller183@company.com,ACTIVE,S3ReadOnly,780,2025-02-27,2026-05-26
10184,NANCYROBINSON,nancy.robinson184@company.com,ACTIVE,ReadOnlyAccess,1095,2025-07-24,2026-06-06
10185,nancywhite-7,nancy.white185@company.com,ACTIVE,ReadOnlyAccess,466,2025-03-04,2026-03-02
10186,PATRICIASANCHEZ_3,patricia.sanchez186@company.com,ACTIVE,ReadOnlyAccess,945,2025-02-24,2026-05-13
10187,PATRICIATAYLOR,patricia.taylor187@company.com,ACTIVE,S3ReadOnly,1111,2025-03-19,2026-05-19
10188,patriciawilson_49,patricia.wilson188@company.com,ACTIVE,S3ReadOnly,1087,2025-09-09,2026-05-25
10189,paulgreen_2,paul.green189@company.com,ACTIVE,S3ReadOnly,921,2025-09-25,2026-06-02
10190,paulhall.97,paul.hall190@company.com,ACTIVE,S3ReadOnly,647,2025-06-13,2026-06-05
10191,paul.jones,paul.jones191@company.com,ACTIVE,ReadOnlyAccess,258,2025-03-25,2026-05-25
10192,PAULNELSON,paul.nelson192@company.com,ACTIVE,S3ReadOnly,435,2025-07-08,2026-05-10
10193,PAULSMITH,paul.smith193@company.com,ACTIVE,ReadOnlyAccess,337,2025-07-10,2026-03-08
10194,paulthomas-6,paul.thomas194@company.com,ACTIVE,S3ReadOnly,1128,2025-05-16,2026-05-18
10195,paulwi.lliams,paul.williams195@company.com,ACTIVE,ReadOnlyAccess,237,2025-02-25,2026-05-31
10196,RICHARDGARCIA_1,richard.garcia196@company.com,ACTIVE,S3ReadOnly,1856,2025-05-15,2026-05-27
10197,richar.dgreen,richard.green197@company.com,ACTIVE,S3ReadOnly,1450,2025-09-14,2026-05-14
10198,richardjones_58,richard.jones198@company.com,ACTIVE,S3ReadOnly,996,2025-01-18,2026-05-04
10199,RICHARDMILLER,richard.miller199@company.com,ACTIVE,S3ReadOnly,1109,2025-01-27,2026-05-16
10200,richardthomas.45,richard.thomas200@company.com,ACTIVE,S3ReadOnly,131,2025-03-12,2026-05-31
10201,ROBERTCAMPBELL_4,robert.campbell201@company.com,ACTIVE,S3ReadOnly,1965,2025-12-04,2026-06-04
10202,ROBERTJOHNSON,robert.johnson202@company.com,ACTIVE,S3ReadOnly,1197,2025-03-19,2026-05-14
10203,robertmartin_44,robert.martin203@company.com,ACTIVE,S3ReadOnly,1753,2025-11-24,2026-06-06
10204,robertnelson.51,robert.nelson204@company.com,ACTIVE,ReadOnlyAccess,1070,2025-10-18,2026-05-09
10205,ronal.dbrown,ronald.brown205@company.com,ACTIVE,S3ReadOnly,453,2025-05-27,2026-05-26
10206,RONALDNELSON_4,ronald.nelson206@company.com,ACTIVE,ReadOnlyAccess,1561,2025-08-22,2026-06-14
10207,RONALDWHITE_6,ronald.white207@company.com,ACTIVE,ReadOnlyAccess,904,2025-11-18,2026-05-11
10208,RYANGREEN,ryan.green208@company.com,ACTIVE,S3ReadOnly,1324,2025-10-28,2026-05-20
10209,ryanharris-4,ryan.harris209@company.com,ACTIVE,ReadOnlyAccess,538,2025-02-21,2026-05-19
10210,ryanking.77,ryan.king210@company.com,ACTIVE,S3ReadOnly,1038,2025-04-08,2026-05-25
10211,ryanlee-3,ryan.lee211@company.com,ACTIVE,S3ReadOnly,1015,2025-04-28,2026-05-07
10212,ryanthomas.19,ryan.thomas212@company.com,ACTIVE,S3ReadOnly,1207,2025-10-28,2026-05-26
10213,ryanwright.93,ryan.wright213@company.com,ACTIVE,ReadOnlyAccess,1534,2025-02-18,2026-05-22
10214,sandraadams.70,sandra.adams214@company.com,ACTIVE,S3ReadOnly,499,2025-10-04,2026-05-03
10215,sandragreen-3,sandra.green215@company.com,ACTIVE,S3ReadOnly,1872,2025-12-02,2026-05-29
10216,sandramitchell-1,sandra.mitchell216@company.com,ACTIVE,ReadOnlyAccess,823,2025-08-28,2026-04-28
10217,sandrathomas-2,sandra.thomas217@company.com,ACTIVE,S3ReadOnly,647,2025-07-26,2026-05-22
10218,sandrawright_17,sandra.wright218@company.com,ACTIVE,S3ReadOnly,1518,2025-12-18,2026-06-04
10219,sarahjohnson.77,sarah.johnson219@company.com,ACTIVE,S3ReadOnly,1486,2025-10-16,2026-05-22
10220,SARAHRAMIREZ_8,sarah.ramirez220@company.com,ACTIVE,ReadOnlyAccess,1375,2025-09-03,2026-04-25
10221,SARAHTAYLOR_1,sarah.taylor221@company.com,ACTIVE,S3ReadOnly,949,2025-04-03,2026-05-11
10222,SARAHWILLIAMS,sarah.williams222@company.com,ACTIVE,S3ReadOnly,606,2025-09-20,2026-06-17
10223,stevenallen-4,steven.allen223@company.com,ACTIVE,ReadOnlyAccess,116,2025-05-20,2026-05-08
10224,stevenking_9,steven.king224@company.com,ACTIVE,S3ReadOnly,869,2025-10-06,2026-06-08
10225,STEVENROBINSON_8,steven.robinson225@company.com,ACTIVE,S3ReadOnly,1627,2025-04-13,2026-05-14
10226,STEVENSANCHEZ,steven.sanchez226@company.com,ACTIVE,ReadOnlyAccess,958,2025-08-25,2026-06-12
10227,STEVENSCOTT,steven.scott227@company.com,ACTIVE,ReadOnlyAccess,1224,2025-09-09,2026-06-04
10228,stevenwilson-4,steven.wilson228@company.com,ACTIVE,S3ReadOnly,817,2025-12-01,2026-06-06
10229,susangonzalez.56,susan.gonzalez229@company.com,ACTIVE,S3ReadOnly,1636,2025-08-05,2026-05-12
10230,SUSANWALKER,susan.walker230@company.com,ACTIVE,S3ReadOnly,762,2025-02-14,2026-05-23
10231,THOMASNELSON_7,thomas.nelson231@company.com,ACTIVE,ReadOnlyAccess,798,2025-06-02,2026-05-12
10232,thomasramirez.77,thomas.ramirez232@company.com,ACTIVE,ReadOnlyAccess,1166,2025-04-13,2026-05-26
10233,thomasrodriguez_58,thomas.rodriguez233@company.com,ACTIVE,S3ReadOnly,462,2025-10-29,2026-05-06
10234,thomastaylor-5,thomas.taylor234@company.com,ACTIVE,ReadOnlyAccess,199,2025-07-29,2026-04-11
10235,thomasthomas-7,thomas.thomas235@company.com,ACTIVE,ReadOnlyAccess,106,2025-08-24,2026-05-27
10236,thomast.hompson,thomas.thompson236@company.com,ACTIVE,ReadOnlyAccess,1495,2025-05-09,2026-06-02
10237,timothy.anderson,timothy.anderson237@company.com,ACTIVE,ReadOnlyAccess,1440,2025-09-18,2026-05-16
10238,timothygonzalez_62,timothy.gonzalez238@company.com,ACTIVE,ReadOnlyAccess,377,2025-03-11,2026-05-31
10239,TIMOTHYJOHNSON_8,timothy.johnson239@company.com,ACTIVE,ReadOnlyAccess,148,2025-08-12,2026-05-23
10240,timothynelson.10,timothy.nelson240@company.com,ACTIVE,S3ReadOnly,1937,2025-06-27,2026-05-30
