employee_id,sAMAccountName,userPrincipalName,ad_status,ad_group
176,ahernandez,alex.hernandez176@company.com,ACTIVE,Domain Users
177,melliott,michael.elliott177@company.com,DISABLED,Domain Users
178,mwang,michael.wang178@company.com,DISABLED,Domain Users
179,ladkins,lawrence.adkins179@company.com,ACTIVE,Domain Users
180,roconnell,robert.oconnell180@company.com,ACTIVE,Domain Users
181,acollins,alexander.collins181@company.com,DISABLED,Domain Users
182,tsanders,tina.sanders182@company.com,ACTIVE,Domain Users
183,avaughn,angela.vaughn183@company.com,ACTIVE,Domain Users
184,abarton,ashley.barton184@company.com,ACTIVE,Domain Users
185,lmartinez,lindsay.martinez185@company.com,DISABLED,Domain Users
186,dpatterson,dr..patterson186@company.com,DISABLED,Server Operators
187,jpeterson,jonathan.peterson187@company.com,ACTIVE,Domain Users
188,sgarcia,samantha.garcia188@company.com,ACTIVE,Account Operators
189,mpoole,madison.poole189@company.com,DISABLED,Domain Users
190,jgross,jessica.gross190@company.com,ACTIVE,Domain Users
191,dmorton,debra.morton191@company.com,ACTIVE,Domain Users
192,kgraham,karen.graham192@company.com,ACTIVE,Server Operators
193,dchristian,debra.christian193@company.com,ACTIVE,Domain Users
194,akeith,angelica.keith194@company.com,ACTIVE,Domain Users
195,jbishop,john.bishop195@company.com,ACTIVE,Domain Users
196,arosales,allen.rosales196@company.com,ACTIVE,Domain Users
197,dsalinas,daniel.salinas197@company.com,ACTIVE,Domain Admins
198,shaynes,spencer.haynes198@company.com,DISABLED,Domain Users
199,avaughan,adam.vaughan199@company.com,ACTIVE,Domain Users
200,nfreeman,nathan.freeman200@company.com,ACTIVE,Domain Admins
201,mbrewer,melissa.brewer201@company.com,DISABLED,Server Operators
202,rii,ricky.ii202@company.com,ACTIVE,Domain Users
203,eperkins,elizabeth.perkins203@company.com,ACTIVE,Server Operators
204,jcoleman,joseph.coleman204@company.com,ACTIVE,Domain Users
205,ewarner,erin.warner205@company.com,ACTIVE,Domain Users
206,dmartinez,david.martinez206@company.com,DISABLED,Server Operators
207,bherrera,bryan.herrera207@company.com,ACTIVE,Domain Users
208,crobinson,cathy.robinson208@company.com,DISABLED,Server Operators
209,dwarren,dr..warren209@company.com,ACTIVE,Domain Users
210,blee,brian.lee210@company.com,DISABLED,Domain Users
211,csmith,christopher.smith211@company.com,ACTIVE,Domain Users
212,dmccann,denise.mccann212@company.com,ACTIVE,Domain Users
213,mmartinez,melissa.martinez213@company.com,DISABLED,Domain Users
214,ksalas,katherine.salas214@company.com,DISABLED,Domain Users
215,jalexander,julie.alexander215@company.com,ACTIVE,Server Operators
216,aeverett,anthony.everett216@company.com,ACTIVE,Domain Users
217,rmorales,rodney.morales217@company.com,DISABLED,Domain Users
218,mbrown,mark.brown218@company.com,ACTIVE,Domain Users
219,jtorres,justin.torres219@company.com,ACTIVE,Domain Users
220,bdds,bailey.dds220@company.com,ACTIVE,Domain Users
221,cmills,courtney.mills221@company.com,ACTIVE,Domain Users
222,jdalton,jeremy.dalton222@company.com,ACTIVE,Domain Users
223,edds,elizabeth.dds223@company.com,DISABLED,Domain Users
224,tclark,theresa.clark224@company.com,DISABLED,Domain Admins
225,mmoore,matthew.moore225@company.com,ACTIVE,Domain Users
226,bsmith,benjamin.smith226@company.com,ACTIVE,Domain Users
227,kcarter,kirk.carter227@company.com,ACTIVE,Domain Users
228,mwarner,michael.warner228@company.com,ACTIVE,Domain Users
229,mbradshaw,michael.bradshaw229@company.com,ACTIVE,Server Operators
230,lguerrero,lori.guerrero230@company.com,ACTIVE,Domain Users
231,jstephens,jessica.stephens231@company.com,ACTIVE,Domain Users
232,sserrano,susan.serrano232@company.com,ACTIVE,Domain Users
233,cparker,christopher.parker233@company.com,ACTIVE,Domain Users
234,lroberts,laura.roberts234@company.com,DISABLED,Account Operators
235,mlyons,michael.lyons235@company.com,ACTIVE,Domain Admins
236,ksnyder,kathryn.snyder236@company.com,ACTIVE,Domain Users
237,areynolds,andrew.reynolds237@company.com,ACTIVE,Domain Users
238,ddavis,david.davis238@company.com,ACTIVE,Domain Users
239,sjohnston,sara.johnston239@company.com,ACTIVE,Server Operators
240,ychambers,yvonne.chambers240@company.com,ACTIVE,Domain Users
241,aavila,andrew.avila241@company.com,ACTIVE,Domain Users
242,mmoon,matthew.moon242@company.com,ACTIVE,Server Operators
243,kwalters,kevin.walters243@company.com,ACTIVE,Domain Users
244,bmd,brandon.md244@company.com,DISABLED,Domain Users
245,srivera,shannon.rivera245@company.com,ACTIVE,Domain Users
246,dlandry,donna.landry246@company.com,ACTIVE,Domain Users
247,kgibson,krista.gibson247@company.com,ACTIVE,Server Operators
248,fcordova,frank.cordova248@company.com,DISABLED,Domain Users
249,jtravis,jose.travis249@company.com,ACTIVE,Domain Admins
250,kgutierrez,kimberly.gutierrez250@company.com,ACTIVE,Domain Users
